cap,city,description,details,price,title,url
 1206, Genève,", Genève - Bel appartement en plein coeur de Florissant","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 167 m', ' Locali ': ' 5 ', ' Piano ': ' 3° piano ', ' Anno di costruzione ': ' 1970 ', ' Ultima ristrutturazione ': ' 2015 ', ' Codice immobile ': ' 4761882 ', ' Numero oggetto ': ' ..36812bb5-baa7-47f3-ad5a-f5b8e2689f71 '}", 2'850'000.– ,Appartamento 5 Locali,
 1224, Chêne-Bougeries,", Chêne-Bougeries - Ravissante villa rénovée avec gout et cachet","{' Tipo di oggetto ': ' Villa ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 220 m', ' Locali ': ' 8.5 ', ' Piani della casa ': ' 3 ', ' Ultima ristrutturazione ': ' 2020 ', ' Codice immobile ': ' 4870016 ', ' Numero oggetto ': ' ..174950c1-fff1-41fb-8b6f-61570db6260a '}", 4'500'000.– ,Villa 8.5 Locali,
 1208, Genève,", Genève - Bel appartement traversant à deux pas du lac","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 238 m', ' Locali ': ' 8 ', ' Piano ': ' 1° piano ', ' Anno di costruzione ': ' 1996 ', ' Codice immobile ': ' 4762915 ', ' Numero oggetto ': ' ..a124b713-cb71-42d4-ab67-37b3f68327ae '}", 2'860'000.– ,Appartamento 8 Locali,
 1203, Genève,", Genève - Bel appartement en attique","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 190 m', ' Locali ': ' 6 ', ' Anno di costruzione ': ' 1919 ', ' Ultima ristrutturazione ': ' 2010 ', ' Codice immobile ': ' 4757418 ', ' Numero oggetto ': ' ..a0b48aa6-33b3-4c38-991c-672cff50daa3 '}", 2'280'000.– ,Appartamento 6 Locali,
 1223, Cologny,", Cologny - COLOGNY - Magnifique villa de plain-pied avec piscine","{' Tipo di oggetto ': ' Villa ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 250 m', ' Locali ': ' 8 ', ' Piani della casa ': ' 1 ', ' Anno di costruzione ': ' 1970 ', ' Codice immobile ': ' 4752565 ', ' Numero oggetto ': ' ..07a2c453-46f1-49d6-a3d3-244a302fdcf0 '}", 6'800'000.– ,Villa 8 Locali,
 1223, Cologny,", Cologny - Maison d'architect avec une vue époustouflante sur le Lac Léman","{' Tipo di oggetto ': ' Casa monofamiliare ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 450 m', ' Locali ': ' 8 ', ' Codice immobile ': ' 4766268 ', ' Numero oggetto ': ' ..61b05e74-cb66-4f8e-b380-afe1d23ff0e8 '}", su richiesta ,Casa monofamiliare 8 Locali,
 1219, Châtelaine,", Châtelaine - Magnifique Chalet de 7 pièces entièrement rénové avec piscine et st...","{' Tipo di oggetto ': ' Casa monofamiliare ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 202 m', ' Locali ': ' 7 ', ' Anno di costruzione ': ' 1905 ', ' Ultima ristrutturazione ': ' 2014 ', ' Codice immobile ': ' 4768398 ', ' Numero oggetto ': ' ..4a1b71f3-7e36-4c1e-9f4b-de3006920c93 '}", 2'890'000.– ,Casa monofamiliare 7 Locali,
 1206, Genève,", Genève - Champel - Appartement de 7.5 pièces de style ancien avec cachet","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 243 m', ' Locali ': ' 7.5 ', ' Piano ': ' 5° piano ', ' Codice immobile ': ' 3667079 ', ' Numero oggetto ': ' ..534475 '}", 4'200'000.– ,Appartamento 7.5 Locali,
 1292, Chambésy,", Chambésy - Maison de Maître construite au début du XXème siècle","{' Tipo di oggetto ': ' Casa monofamiliare ', ' Disponibilità ': ' da concordare ', ' Locali ': ' 9 ', ' Anno di costruzione ': ' 1945 ', ' Codice immobile ': ' 4789118 ', ' Numero oggetto ': ' ..f4e3c95b-2219-47a0-aaed-7d02b1a391a6 '}", 6'500'000.– ,Casa monofamiliare 9 Locali,
 1223, Cologny,", Cologny - Appartement de grand standing situé dans une résidence très sécurisée","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 133 m', ' Locali ': ' 4 ', ' Piano ': ' 2° piano ', ' Anno di costruzione ': ' 1980 ', ' Ultima ristrutturazione ': ' 2013 ', ' Codice immobile ': ' 4769062 ', ' Numero oggetto ': ' ..f5530430-433b-4724-97a7-e6aa7620c0bf '}", su richiesta ,Appartamento 4 Locali,
 1201, Genève,", Genève - #3288225 / Wohnung / CH-1201 Genève / CHF 1'030'000.-","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 71 m', ' Locali ': ' 4 ', ' Piano ': ' 2° piano ', ' Anno di costruzione ': ' 1984 ', ' Codice immobile ': ' 4765091 ', ' Numero oggetto ': ' ..f92ea0e1-0708-48be-95b3-5535e9dffcf6 '}", 1'030'000.– ,Appartamento 4 Locali,
 1224, Chêne-Bougeries,", Chêne-Bougeries - Construction de deux villas mitoyennes THPE à Conches","{' Tipo di oggetto ': ' Casa monofamiliare ', ' Disponibilità ': ' da concordare ', ' Locali ': ' 6 ', ' Codice immobile ': ' 4790743 ', ' Numero oggetto ': ' ..2ac8656a-7b16-445a-87b3-120039a350f6 '}", 3'500'000.– ,Casa monofamiliare 6 Locali,
 1204, Genève,", Genève - Somptueux appartement rénové au coeur de la vieille-ville Exclusivité","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 273 m', ' Locali ': ' 6 ', ' Piano ': ' 1° piano ', ' Ultima ristrutturazione ': ' 2018 ', ' Codice immobile ': ' 4758133 ', ' Numero oggetto ': ' ..7cba15bc-f94c-41c6-954b-9a05e2e39527 '}", 6'790'000.– ,Appartamento 6 Locali,
 1206, Genève,", Genève - En plein coeur de Florissant, étage élevé, immeuble de grand standing","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 230 m', ' Locali ': ' 8 ', ' Anno di costruzione ': ' 1970 ', ' Ultima ristrutturazione ': ' 2021 ', ' Condizioni ': ' Nuova costruzione ', ' Codice immobile ': ' 4790614 ', ' Numero oggetto ': ' ..f379b088-9ce8-4ead-a0c5-c975ef276c43 '}", 4'200'000.– ,Appartamento 8 Locali,
 1201, Genève,", Genève - Exclusivité- offre spécial investisseur. Nue propriété. 5.5 pièces.","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 115 m', ' Locali ': ' 5.5 ', ' Piano ': ' 5° piano ', ' Anno di costruzione ': ' 1975 ', ' Codice immobile ': ' 4757706 ', ' Numero oggetto ': ' ..a67a41a9-fb3a-4000-a98d-f93522eb411b '}", 480'000.– ,Appartamento 5.5 Locali,
 1213, Petit-Lancy,", Petit-Lancy - Proche de toutes les commodités, au calme avec balcon","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 103 m', ' Locali ': ' 4 ', ' Piano ': ' 7° piano ', ' Piani della casa ': ' 7 ', ' Anno di costruzione ': ' 1965 ', ' Ultima ristrutturazione ': ' 2018 ', ' Codice immobile ': ' 4765629 ', ' Numero oggetto ': ' ..aa9bb51e-4936-4680-885d-4514cd6081fc '}", 1'390'000.– ,Appartamento 4 Locali,
 1208, Genève,", Genève - Unique Penthouse au centre ville","{' Tipo di oggetto ': ' Appartamento su due piani ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 416 m', ' Locali ': ' 8 ', ' Anno di costruzione ': ' 1985 ', ' Ultima ristrutturazione ': ' 2006 ', ' Codice immobile ': ' 4789840 ', ' Numero oggetto ': ' ..da019c47-7b9d-4533-a0e7-f2ccc936b84f '}", su richiesta ,Appartamento su due piani 8 Locali,
 1203, Genève,", Genève - Bel appartement lumineux de 6 Pièces à St-Jean","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 158 m', ' Locali ': ' 6 ', ' Anno di costruzione ': ' 2008 ', ' Codice immobile ': ' 4790750 ', ' Numero oggetto ': ' ..2a7ec31f-6a19-4911-b186-9c3f831f0ee4 '}", 1'960'000.– ,Appartamento 6 Locali,
 1207, Genève,", Genève - Passage entre rue Cherbuliez et rue Henri-Blanvalet","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 36 m', ' Locali ': ' 1.5 ', ' Piano ': ' 2° piano ', ' Anno di costruzione ': ' 1970 ', ' Ultima ristrutturazione ': ' 2021 ', ' Codice immobile ': ' 4858198 ', ' Numero oggetto ': ' ..2dd79d1c-b46b-47eb-bdfd-191a384e8e56 '}", 570'000.– ,Appartamento 1.5 Locali,
 1292, Chambésy,", Chambésy - Appartement très haute gamme 240 m2 avec 120 M2 de terrasses panora...","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 240 m', ' Locali ': ' 9 ', ' Piano ': ' 1° piano ', ' Anno di costruzione ': ' 2022 ', ' Condizioni ': ' Nuova costruzione ', ' Codice immobile ': ' 4858484 ', ' Numero oggetto ': ' ..71a5f828-6e1f-4434-9395-b2cab4f99d7c '}", 4'312'000.– ,Appartamento 9 Locali,
 1206, Genève,", Genève - #3374421 / Eigentumswohnung / CH-1206 Genève / CHF 3'160'000.-","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Locali ': ' 5.5 ', ' Ultima ristrutturazione ': ' 2019 ', ' Codice immobile ': ' 4857711 ', ' Numero oggetto ': ' ..e4ca2811-b7b1-4d91-8c90-28e856a09165 '}", 3'160'000.– ,Appartamento 5.5 Locali,
 1218, Le Grand-Saconnex,", Le Grand-Saconnex - Charmant attique avec mezzanine et terrasse","{' Tipo di oggetto ': ' Attico ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 132 m', ' Locali ': ' 4 ', ' Anno di costruzione ': ' 2005 ', ' Codice immobile ': ' 4858087 ', ' Numero oggetto ': ' ..1196dd67-4a0f-4a1a-989e-b40b1bfcbece '}", 1'370'000.– ,Attico 4 Locali,
 1203, Genève,", Genève - Atypique et charmant appartement de 6 pièces sous les toits","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 198 m', ' Locali ': ' 6 ', ' Piano ': ' 5° piano ', ' Anno di costruzione ': ' 1910 ', ' Codice immobile ': ' 4858535 ', ' Numero oggetto ': ' ..9b8e3582-b28b-4a5e-b8b0-ee4977b67423 '}", 2'280'000.– ,Appartamento 6 Locali,
 1202, Genève,", Genève - 3 pièces proche commodités","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Locali ': ' 3 ', ' Codice immobile ': ' 4858206 ', ' Numero oggetto ': ' ..d6c3ad3e-1773-45fc-809a-664aaaa4e7c8 '}", 890'000.– ,Appartamento 3 Locali,
 1208, Genève,", Genève - SOMPTUEUX PENTHOUSE AVEC VUE A 360 DEGRES","{' Tipo di oggetto ': ' Attico ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 230 m', ' Locali ': ' 9 ', ' Piano ': ' Più alto di 8° piano ', ' Anno di costruzione ': ' 1970 ', ' Ultima ristrutturazione ': ' 2014 ', ' Codice immobile ': ' 4857724 ', ' Numero oggetto ': ' ..9ae3f94b-623e-43e6-ac12-1b443f4152e4 '}", 6'000'000.– ,Attico 9 Locali,
 1292, Chambésy,", Chambésy - Maison à vendre 7 pièces à 1292 Chambésy - Genève","{' Tipo di oggetto ': ' Casa monofamiliare ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 218 m', ' Locali ': ' 7 ', ' Anno di costruzione ': ' 2022 ', ' Codice immobile ': ' 4751327 ', ' Numero oggetto ': ' ..b315c598-e6f2-4013-bd40-7065aa54f0fd '}", 2'500'000.– ,Casa monofamiliare 7 Locali,
 1201, Genève,", Genève - Magnifique domaine campagne Genevoise - Magnificent estate","{' Tipo di oggetto ': ' Castello ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 750 m', ' Locali ': ' 12 ', ' Codice immobile ': ' 4791971 ', ' Numero oggetto ': ' ..744a912c-2595-4495-a805-114186a0d2c0 '}", 15'000'000.– ,Castello 12 Locali,
 1224, Chêne-Bougeries,", Chêne-Bougeries - Construction de deux villas mitoyennes THPE à Conches","{' Tipo di oggetto ': ' Casa monofamiliare ', ' Disponibilità ': ' da concordare ', ' Locali ': ' 6 ', ' Condizioni ': ' Nuova costruzione ', ' Codice immobile ': ' 4788958 ', ' Numero oggetto ': ' ..884df812-b042-4e76-b52b-87e675476f9b '}", 3'500'000.– ,Casa monofamiliare 6 Locali,
 1202, Genève,", Genève - Rare - Superbe Maison de Maître au coeur du centre de Genève","{' Tipo di oggetto ': ' Casa monofamiliare ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 562 m', ' Locali ': ' 13 ', ' Anno di costruzione ': ' 1830 ', ' Ultima ristrutturazione ': ' 2004 ', ' Codice immobile ': ' 4792742 ', ' Numero oggetto ': ' ..ee676574-f29b-419d-88a2-6f5caa1320c9 '}", su richiesta ,Casa monofamiliare 13 Locali,
 1218, Le Grand-Saconnex,", Le Grand-Saconnex - GRAND-SACONNEX: OBJET RARE appartement PPE avec 4 chambres et terrasse","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 195 m', ' Locali ': ' 7 ', ' Piano ': ' 1° piano ', ' Anno di costruzione ': ' 2010 ', ' Ultima ristrutturazione ': ' 2021 ', ' Codice immobile ': ' 4804325 ', ' Numero oggetto ': ' ..13a60a97-587d-4954-8e95-d55e30d1484f '}", 2'480'000.– ,Appartamento 7 Locali,
 1201, Genève,", Genève - Appartement de prestige vue imprenable sur le lac à Genève","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 317 m', ' Locali ': ' 6 ', ' Piano ': ' 4° piano ', ' Anno di costruzione ': ' 1984 ', ' Ultima ristrutturazione ': ' 2000 ', ' Codice immobile ': ' 4791610 ', ' Numero oggetto ': ' ..1b95c80b-ba07-4ca2-bf60-e228dd538428 '}", 4'750'000.– ,Appartamento 6 Locali,
 1206, Genève,", Genève - Authentique appartement de style Haussmannien près de l'Église Russe","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 325 m', ' Locali ': ' 10 ', ' Piano ': ' 2° piano ', ' Anno di costruzione ': ' 1900 ', ' Codice immobile ': ' 4793031 ', ' Numero oggetto ': ' ..8fcf7801-2e7b-413c-b464-6c3e27a768d7 '}", su richiesta ,Appartamento 10 Locali,
 1227, Carouge GE,", Carouge GE - Sur les hauteurs de Carouge","{' Tipo di oggetto ': ' Attico ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 248 m', ' Locali ': ' 7 ', ' Piano ': ' 3° piano ', ' Anno di costruzione ': ' 2004 ', ' Ultima ristrutturazione ': ' 2020 ', ' Codice immobile ': ' 4805742 ', ' Numero oggetto ': ' ..d2451b85-6615-4dd0-90ca-4f478aaa8ce0 '}", 2'990'000.– ,Attico 7 Locali,
 1218, Le Grand-Saconnex,", Le Grand-Saconnex - Appartement neuf de 94m2, THPE au Grand-Saconnex","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 94 m', ' Locali ': ' 4 ', ' Piano ': ' 4° piano ', ' Piani della casa ': ' 1 ', ' Anno di costruzione ': ' 2023 ', ' Condizioni ': ' Nuova costruzione ', ' Codice immobile ': ' 4858011 ', ' Numero oggetto ': ' ..3be97e8a-dde1-4581-8ddb-2cbfdfd4882f '}", 1'300'000.– ,Appartamento 4 Locali,
 1218, Le Grand-Saconnex,", Le Grand-Saconnex - Villa dans La Saconnésienne","{' Tipo di oggetto ': ' Villetta a schiera ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 142 m', ' Locali ': ' 6.5 ', ' Anno di costruzione ': ' 2011 ', ' Codice immobile ': ' 4804386 ', ' Numero oggetto ': ' ..e75ef9f3-b2cc-469d-810c-c4ad371b5735 '}", 1'790'000.– ,Villetta a schiera 6.5 Locali,
 1206, Genève,", Genève - Exclusivité: bel appartement rénové à Champel","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 151 m', ' Locali ': ' 5 ', ' Piano ': ' 3° piano ', ' Anno di costruzione ': ' 1976 ', ' Codice immobile ': ' 4792489 ', ' Numero oggetto ': ' ..3bd1fba3-26f0-4fc5-aefe-f14b3fe1937c '}", 2'300'000.– ,Appartamento 5 Locali,
 1213, Petit-Lancy,", Petit-Lancy - Magnifique duplex avec 5 chambres","{' Tipo di oggetto ': ' Appartamento su due piani ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 229 m', ' Locali ': ' 7.5 ', ' Piano ': ' 2° piano ', ' Anno di costruzione ': ' 2011 ', ' Codice immobile ': ' 4807410 ', ' Numero oggetto ': ' ..f17a95ca-1a0c-497a-b34e-5bf3a22f91cf '}", 2'490'000.– ,Appartamento su due piani 7.5 Locali,
" Chemin de Conches,", 1231,", Conches - Luxueuse Town House sise au sein d'une résidence sécurisée dans un ...","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 590 m', ' Locali ': ' 11 ', ' Anno di costruzione ': ' 1986 ', ' Ultima ristrutturazione ': ' 2007 ', ' Codice immobile ': ' 4764074 ', ' Numero oggetto ': ' ..763195b4-99de-42d5-a9b5-b60e1b3be21a '}", su richiesta ,Appartamento 11 Locali,
 1203, Genève,", Genève - Appartement dans une résidence agréable à proximité du parc Geisendorf","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 43 m', ' Locali ': ' 2 ', ' Piano ': ' 5° piano ', ' Anno di costruzione ': ' 1971 ', ' Codice immobile ': ' 4807507 ', ' Numero oggetto ': ' ..1b364c81-e6ad-4feb-9f7d-d35fcdbb74a5 '}", 640'000.– ,Appartamento 2 Locali,
 1234, Vessy,", Vessy - Esprit villageois","{' Tipo di oggetto ': ' Casa monofamiliare ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 115 m', ' Locali ': ' 3 ', ' Anno di costruzione ': ' 1750 ', ' Ultima ristrutturazione ': ' 2006 ', ' Codice immobile ': ' 4858033 ', ' Numero oggetto ': ' ..b665f6ae-2670-4af9-8de5-1f0829d90209 '}", 1'390'000.– ,Casa monofamiliare 3 Locali,
 1207, Genève,", Genève - Rive gauche, immeuble du 19ème siècle, OPPORTUNITÉ RARE","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 172 m', ' Locali ': ' 6 ', ' Piano ': ' 3° piano ', ' Anno di costruzione ': ' 1900 ', ' Ultima ristrutturazione ': ' 2015 ', ' Codice immobile ': ' 4857008 ', ' Numero oggetto ': ' ..98ff36fb-db36-42d9-9d7d-21a6f55ad305 '}", 4'190'000.– ,Appartamento 6 Locali,
 1218, Le Grand-Saconnex,", Le Grand-Saconnex - Exclusivité - Spacieuse maison familiale","{' Tipo di oggetto ': ' Casa bifamiliare ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 250 m', ' Locali ': ' 8 ', ' Anno di costruzione ': ' 1990 ', ' Codice immobile ': ' 4791700 ', ' Numero oggetto ': ' ..1a220b1a-bb20-464f-9be3-bc5487f08750 '}", 2'690'000.– ,Casa bifamiliare 8 Locali,
 1204, Genève,", Genève - Hôtel particulier aux allures de loft New-Yorkais","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 250 m', ' Locali ': ' 6 ', ' Piano ': ' Piano terra ', ' Piani della casa ': ' 2 ', ' Anno di costruzione ': ' 2002 ', ' Ultima ristrutturazione ': ' 2002 ', ' Codice immobile ': ' 4806806 ', ' Numero oggetto ': ' ..0532dd17-62f1-4f87-83f7-45feb3ff1ea8 '}", 4'590'000.– ,Appartamento 6 Locali,
 1223, Cologny,", Cologny - Villa d'exception récente avec Vue Lac époustouflante","{' Tipo di oggetto ': ' Casa monofamiliare ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 1000 m', ' Locali ': ' 15 ', ' Codice immobile ': ' 4809060 ', ' Numero oggetto ': ' ..2fd96f94-2d0a-4b40-a7c8-48f1542e5b99 '}", 27'000'000.– ,Casa monofamiliare 15 Locali,
" Avenue du Lignon 41,", 1219,", Le Lignon - 5 pièces avec jolie vue (Frais de notaire réduits !)","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 103 m', ' Locali ': ' 5 ', ' Piano ': ' Più alto di 8° piano ', ' Piani della casa ': ' 12 ', ' Anno di costruzione ': ' 1970 ', ' Codice immobile ': ' 3549173 ', ' Numero oggetto ': ' ..57f65312-886a-411d-9b43-55ff3b939eb1 '}", 990'000.– ,Appartamento 5 Locali,
 1201, Genève,", Genève - Exclusivité! Prestige Duplex dans une residence luxueuse","{' Tipo di oggetto ': ' Appartamento su due piani ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 210 m', ' Locali ': ' 6 ', ' Piano ': ' 3° piano ', ' Anno di costruzione ': ' 2014 ', ' Codice immobile ': ' 4810212 ', ' Numero oggetto ': ' ..8c3f0102-c46d-42df-abd3-6c3d9c903370 '}", 4'600'000.– ,Appartamento su due piani 6 Locali,
 1207, Genève,", Genève - ! UNIQUE - FACE AU JET D'EAU ! Somptueux appartement duplex avec ja...","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 256 m', ' Locali ': ' 6 ', ' Codice immobile ': ' 4808130 ', ' Numero oggetto ': ' ..ce28218e-b9c1-4285-9cbb-f8bf393d1d2f '}", su richiesta ,Appartamento 6 Locali,
 1212, Grand-Lancy,", Grand-Lancy - Au centre de la commune","{' Tipo di oggetto ': ' Attico ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 168 m', ' Locali ': ' 6 ', ' Piano ': ' 3° piano ', ' Anno di costruzione ': ' 2008 ', ' Codice immobile ': ' 4817695 ', ' Numero oggetto ': ' ..1803a210-1193-42cd-b8b0-3c61a88dde1f '}", 1'970'000.– ,Attico 6 Locali,
 1208, Genève,", Genève - Bel appartement de 6 pièces entièrement rénové","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 150 m', ' Locali ': ' 6 ', ' Ultima ristrutturazione ': ' 2019 ', ' Codice immobile ': ' 4805928 ', ' Numero oggetto ': ' ..0832b48f-acf4-499d-92f2-0becc6b6da7f '}", 2'410'000.– ,Appartamento 6 Locali,
 1218, Le Grand-Saconnex,", Le Grand-Saconnex - Villa individuelle proche des Organisations Internationales","{' Tipo di oggetto ': ' Casa monofamiliare ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 250 m', ' Locali ': ' 9 ', ' Piani della casa ': ' 3 ', ' Anno di costruzione ': ' 1830 ', ' Ultima ristrutturazione ': ' 2019 ', ' Codice immobile ': ' 4857293 ', ' Numero oggetto ': ' ..9ee36273-8593-475d-ab43-edebe59bcf69 '}", 3'700'000.– ,Casa monofamiliare 9 Locali,
 1218, Le Grand-Saconnex,", Le Grand-Saconnex - Ancien corps de ferme atypique entièrement rénové THPE","{' Tipo di oggetto ': ' Villetta a schiera ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 140 m', ' Locali ': ' 4.5 ', ' Anno di costruzione ': ' 1750 ', ' Ultima ristrutturazione ': ' 2013 ', ' Codice immobile ': ' 4810304 ', ' Numero oggetto ': ' ..41dde656-cce5-430b-b53f-1c209eb69622 '}", 1'500'000.– ,Villetta a schiera 4.5 Locali,
 1208, Genève,", Genève - Magnifique penthouse surplombant la ville","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 230 m', ' Locali ': ' 9 ', ' Codice immobile ': ' 4818823 ', ' Numero oggetto ': ' ..4fd42d02-1228-4d8d-a1f7-983b296eeab3 '}", 6'000'000.– ,Appartamento 9 Locali,
 1206, Genève,", Genève - Rare à la vente - Superbe appartement de 6 pièces en rez-de-jardin ...","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 173 m', ' Locali ': ' 6 ', ' Piano ': ' Piano terra ', ' Codice immobile ': ' 4858588 ', ' Numero oggetto ': ' ..96af964b-569b-4585-946c-a097009cf32d '}", 3'400'000.– ,Appartamento 6 Locali,
 1223, Cologny,", Cologny - SUR PLANS, MAGNIFIQUE VILLA INDIVIDUELLE AVEC VUE LAC","{' Tipo di oggetto ': ' Villa ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 258 m', ' Locali ': ' 7 ', ' Anno di costruzione ': ' 2022 ', ' Codice immobile ': ' 4821889 ', ' Numero oggetto ': ' ..7f00f1f0-a7a6-4439-9213-5b036ba8bdac '}", 10'700'000.– ,Villa 7 Locali,
 1203, Genève,", Genève - #3283009 / Attikawohnung / CH-1203 Genève","{' Tipo di oggetto ': ' Attico ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 264 m', ' Locali ': ' 8 ', ' Anno di costruzione ': ' 2010 ', ' Codice immobile ': ' 4822139 ', ' Numero oggetto ': ' ..db78997d-a28a-4150-a3b4-d06b73672065 '}", su richiesta ,Attico 8 Locali,
 1234, Vessy,", Vessy - Belle maison avec piscine à Veyrier","{' Tipo di oggetto ': ' Casa monofamiliare ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 256 m', ' Locali ': ' 12 ', ' Codice immobile ': ' 4822143 ', ' Numero oggetto ': ' ..b7cb35bb-9c18-4054-b43e-b45179b4347f '}", 3'800'000.– ,Casa monofamiliare 12 Locali,
 1292, Chambésy,", Chambésy - Villa exceptionnelle - Chambésy","{' Tipo di oggetto ': ' Casa monofamiliare ', ' Disponibilità ': ' da concordare ', ' Locali ': ' 6 ', ' Codice immobile ': ' 4819721 ', ' Numero oggetto ': ' ..fac6d010-e242-4e66-b458-c4c325cd677f '}", 2'650'000.– ,Casa monofamiliare 6 Locali,
 1219, Aïre,", Aïre - Charmante maison au calme","{' Tipo di oggetto ': ' Villetta a schiera ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 165 m', ' Locali ': ' 6 ', ' Piani della casa ': ' 4 ', ' Anno di costruzione ': ' 1995 ', ' Codice immobile ': ' 4822559 ', ' Numero oggetto ': ' ..df5eef16-6d3e-44e0-8608-60125be2cdef '}", 1'730'000.– ,Villetta a schiera 6 Locali,
 1209, Genève,", Genève - Pour investisseurs, opportunité studio en société immobilière !","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 41 m', ' Locali ': ' 1 ', ' Piano ': ' 1° piano ', ' Codice immobile ': ' 4858587 ', ' Numero oggetto ': ' ..ed41cc5d-4998-4bf4-ad75-e55c055bec00 '}", 450'000.– ,Appartamento 1 Locali,
